,vaccine,Geographic_Level,Geographic_Name,Demographic_Level,Demographic_Name,Indicator_label,Indicator_category_label,Month_Week,Week_ending,Estimate,CI_Half_width_95pct,Unweighted_Sample_Size,suppression_flag
34339,COVID,State,Louisiana,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,June Week 4,2025-06-28 00:00:00.0000000,61.5844,20.199,47,0
34340,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,May Week 4,2025-05-24 00:00:00.0000000,53.9273,5.885,538,0
34341,COVID,State,Louisiana,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,May Week 1,2025-05-03 00:00:00.0000000,74.4616,13.3289,65,0
34342,COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,May Week 4,2025-05-24 00:00:00.0000000,16.1979,1.0027,17916,0
34343,COVID,State,Louisiana,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,May Week 2,2025-05-10 00:00:00.0000000,64.0943,15.0126,97,0
34344,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,May Week 5,2025-05-31 00:00:00.0000000,52.9897,7.726499999999999,312,0
34345,COVID,State,Louisiana,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,May Week 4,2025-05-24 00:00:00.0000000,49.7781,14.1686,94,0
34346,COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,May Week 5,2025-05-31 00:00:00.0000000,16.2295,1.0027,17916,0
34347,COVID,State,Louisiana,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,May Week 5,2025-05-31 00:00:00.0000000,60.1009,16.2935,63,0
34348,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,June Week 1,2025-06-07 00:00:00.0000000,9.8181,4.5929,371,0
34349,COVID,State,Louisiana,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,May Week 2,2025-05-10 00:00:00.0000000,1.4856,2.6664,97,0
34350,COVID,Region,Region 3,Overall,6 months-17 years,Up-to-date,Yes,June Week 4,2025-06-28 00:00:00.0000000,16.2989,1.0115,17916,0
34351,COVID,State,Louisiana,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,May Week 3,2025-05-17 00:00:00.0000000,5.7145,5.6742,79,0
34352,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,June Week 4,2025-06-28 00:00:00.0000000,5.753,4.3495,225,0
34353,COVID,State,Louisiana,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,June Week 3,2025-06-21 00:00:00.0000000,18.4867,15.1525,67,0
34354,COVID,Region,Region 3,Overall,6 months-17 years,Up-to-date,Yes,May Week 3,2025-05-17 00:00:00.0000000,16.1979,1.0027,17916,0
34355,COVID,State,Louisiana,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,May Week 4,2025-05-24 00:00:00.0000000,38.8389,13.9128,94,0
34356,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,May Week 2,2025-05-10 00:00:00.0000000,5.7345,2.9775,480,0
